Species,Nest Internal Diameter (mm),Nest Depth (mm),Nest External Diameter (mm),Nest Height (mm),Nest Height Above Ground (cm),Source
Pittasoma michleri,90,60,220,,100,"Wetmore (1972), Greeney (2018)"
Conopophaga melanops,57,42,,100,57,Straube (1989)
Conopophaga melanops,85,43,110,65,87,Alves et al. (2002)
Conopophaga melanops,,,,,80,Whitney (2003)
Conopophaga melanops,,,,,60,Whitney (2003)
Conopophaga melanops,,,,,130,Stenzel & Souza (2014)
Conopophaga melanops,,,,,20,Stenzel & Souza (2014)
Conopophaga melanops,,,,,80,Stenzel & Souza (2014)
Conopophaga melanops,55,50,,,,Stenzel & Souza (2014)
Conopophaga melanops,,,,,30,Studer et al. (2019)
Conopophaga melanops,,,,,265,Studer et al. (2019)
Conopophaga melanops,61.1,37.8,136,86,69.4,Studer et al. (2019)
Conopophaga aurita,75,28,,,80,Whitney (2003)
Conopophaga aurita,58,32,123,96,56,Leite et al. (2012)
Conopophaga peruviana,,,,,84,Begazo & Valqui (1998)
Conopophaga peruviana,,,,,35,Dreyer (2002)
Conopophaga peruviana,58,37,68,,70,Hillman & Hogan (2002)
Conopophaga peruviana,62.5,40,102.5,65,45,Greeney (2018)
Conopophaga peruviana,55,35,100,70,30,Greeney (2018)
Conopophaga peruviana,62,40,86,62,51,Greeney (2018)
Conopophaga cearae,,,111.6,50,40,Vieira et al.
Conopophaga cearae,60,,,,,Vieira et al.
Conopophaga cearae,69.6,43.65,104.95,87.5,46,Vieira et al.
Conopophaga cearae,66,45,85,86,40,Vieira et al.
Conopophaga roberti,70,45,100,105,29,Whitney (2003)
Conopophaga roberti,59.4,40.6,79.1,,40.6,Pereira et al. (2022)
Conopophaga roberti,,,,,15,Pereira et al. (2022)
Conopophaga roberti,,,,,75,Pereira et al. (2022)
Conopophaga lineata,60,35,110,,,von Ihering (1900)
Conopophaga lineata,,,,,50,Frisch & Frisch (1964)
Conopophaga lineata,,,,,40,Willis et al. (1983)
Conopophaga lineata,,,,,50,Willis et al. (1983)
Conopophaga lineata,,,,,60,Willis et al. (1983)
Conopophaga lineata,,,,,60,Willis et al. (1983)
Conopophaga lineata,65,35,100,70,,Willis et al. (1983)
Conopophaga lineata,70,40,140,90,,Willis et al. (1983)
Conopophaga lineata,65,35,130,70,,Fraga & Narosky (1985)
Conopophaga lineata,55,30,120,50,,Fraga & Narosky (1985)
Conopophaga lineata,,,,,200,Whitney (2003)
Conopophaga lineata,74,51,120,,35,Marini et al. (2007)
Conopophaga lineata,,,,,20,Marini et al. (2007)
Conopophaga lineata,,,,,50,Marini et al. (2007)
Conopophaga lineata,63,55,120,100,25,Lopes et al. (2013)
Conopophaga lineata,,,,,150,Maurício et al. (2013)
Conopophaga lineata,,,,,50,Bodrati & Di Sallo (2020)
Conopophaga lineata,,,,,50,Bodrati & Di Sallo (2020)
Conopophaga lineata,,,,,50,Bodrati & Di Sallo (2020)
Conopophaga lineata,58,29,99,58,54,Bodrati & Di Sallo (2020)
Conopophaga lineata,65,35,150,,9,Bodrati & Di Sallo (2020)
Conopophaga castaneiceps,50,,,,65,Hilty (1975)
Conopophaga castaneiceps,70.6,4.95,114.45,131,83,Lizarazo & Londoño (2022)
Conopophaga castaneiceps,68.25,3.9,122.15,51.2,50,Lizarazo & Londoño (2022)
Conopophaga castaneiceps,69.6,45.9,91.75,70.9,100,Lizarazo & Londoño (2022)
Conopophaga ardesiaca,75,60,90,85,110,Sánchez & Aponte (2006)